Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ARID1A	"B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1"	ENSG00000117713	"AT-rich interaction domain 1A"	O14497	1	26693236-26782104	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA005456, CAB016334"	Supported		Enhanced	Nucleoplasm			NA	Yes			"Cluster 7: Non-specific - Innate immune response"	"Cluster 16: Non-specific - Transcription"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 55: Non-specific - Transcription"	84	Nucleoplasm		"CAB016334: AB_673396, HPA005456: AB_1078205"	"unprognostic (1.70e-2)"	"unprognostic (6.34e-2)"	"unprognostic (4.30e-1)"	"unprognostic (5.07e-2)"	"unprognostic (6.69e-2)"	"unprognostic (1.10e-2)"	"unprognostic (2.41e-1)"	"unprognostic (2.45e-1)"	"unprognostic (1.94e-2)"	"unprognostic (7.38e-3)"	"unprognostic (8.85e-5)"	"unprognostic (6.99e-3)"	"unprognostic (2.66e-1)"	"unprognostic (3.77e-4)"	"unprognostic (1.35e-1)"	"unprognostic (3.67e-1)"	"unprognostic (3.28e-2)"	"unprognostic (2.49e-1)"	"unprognostic (1.92e-1)"	"unprognostic (2.21e-2)"	"unprognostic (4.23e-1)"	"unprognostic (2.86e-1)"	"unprognostic (5.82e-3)"	"unprognostic (9.36e-2)"	"unprognostic (3.06e-1)"	"unprognostic (1.83e-1)"	"unprognostic (8.04e-2)"	"unprognostic (2.90e-1)"	"unprognostic (2.42e-1)"	"unprognostic (1.79e-1)"	"unprognostic (2.23e-1)"
ARID1B	"6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R, SMARCF2"	ENSG00000049618	"AT-rich interaction domain 1B"	Q8NFD5	6	156776020-157210779	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Inhibitory neurons: 455.0;Oligodendrocytes: 468.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016511, HPA075291"	Approved		Supported	Nucleoplasm			NA	NA		3300	"Cluster 24: Non-specific - Transcription"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 15: Non-specific - Transcription"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 55: Non-specific - Transcription"	56	Nucleoplasm		"HPA016511: AB_1845008, HPA075291: AB_2686743"	"unprognostic (2.98e-3)"	"unprognostic (1.64e-5)"	"unprognostic (3.10e-3)"	"unprognostic (1.88e-2)"	"unprognostic (9.59e-2)"	"unprognostic (3.59e-1)"	"unprognostic (6.53e-2)"	"unprognostic (6.88e-2)"	"unprognostic (1.87e-2)"	"unprognostic (6.03e-2)"	"unprognostic (5.65e-5)"	"unprognostic (2.21e-2)"	"unprognostic (4.71e-2)"	"unprognostic (2.57e-4)"	"unprognostic (2.18e-1)"	"unprognostic (2.55e-2)"	"unprognostic (1.26e-1)"	"unprognostic (1.89e-1)"	"unprognostic (1.29e-1)"	"unprognostic (5.43e-4)"	"unprognostic (6.83e-2)"	"unprognostic (5.60e-2)"	"unprognostic (5.26e-1)"	"unprognostic (1.46e-1)"	"unprognostic (8.37e-3)"	"unprognostic (7.87e-3)"	"unprognostic (1.24e-1)"	"unprognostic (2.08e-1)"	"unprognostic (1.72e-1)"	"unprognostic (2.64e-1)"	"unprognostic (6.15e-2)"
ARID2	"BAF200, DKFZp686G052, FLJ30619, KIAA1557, SMARCF3"	ENSG00000189079	"AT-rich interaction domain 2"	Q68CP9	12	45729706-45908040	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 422.9;Late spermatids: 265.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA063044, HPA078115"			Supported	Nucleoplasm			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 16: Non-specific - Transcription"	"Cluster 25: Non-specific - Transcription"	"Cluster 38: Non-specific - Transcription"	"Cluster 21: Early spermatids - Spermatogenesis"	33	Nucleoplasm		"HPA063044: AB_2684929, HPA078115: "	"unprognostic (1.97e-1)"	"unprognostic (6.51e-2)"	"unprognostic (7.71e-2)"	"unprognostic (1.88e-2)"	"unprognostic (4.29e-2)"	"unprognostic (3.12e-3)"	"unprognostic (9.84e-2)"	"unprognostic (7.68e-2)"	"unprognostic (8.36e-3)"	"unprognostic (2.17e-1)"	"unprognostic (3.96e-3)"	"unprognostic (1.07e-2)"	"unprognostic (2.59e-1)"	"unprognostic (2.29e-3)"	"unprognostic (7.57e-2)"	"unprognostic (2.21e-1)"	"unprognostic (6.18e-2)"	"unprognostic (1.94e-2)"	"unprognostic (1.56e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.90e-1)"	"unprognostic (3.14e-1)"	"unprognostic (2.61e-2)"	"unprognostic (1.70e-1)"	"unprognostic (3.26e-1)"	"unprognostic (2.11e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.34e-1)"	"unprognostic (2.47e-1)"
ARID3A	"BRIGHT, DRIL1"	ENSG00000116017	"AT-rich interaction domain 3A"	Q99856	19	925781-975939	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"placenta: 22.6;testis: 16.6"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 192.5;dendritic cells: 143.9;Extravillous trophoblasts: 527.8;Langerhans cells: 214.2;Syncytiotrophoblasts: 496.6"	"Cell type enhanced"	"Detected in all"		"central nervous system macrophage: 133.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"plasmacytoid DC: 6.3"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Pituitary gland - Somatotropes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA004793, HPA076330"	Enhanced		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 21: Testis - Unknown function"	"Cluster 48: Non-specific - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"	18	Nucleoplasm	Cytosol	"HPA004793: AB_1847870, HPA076330: AB_2732309"	"unprognostic (3.54e-1)"	"unprognostic (2.40e-2)"	"unprognostic (7.55e-2)"	"unprognostic (3.40e-6)"	"unprognostic (3.73e-1)"	"unprognostic (4.46e-3)"	"unprognostic (1.71e-3)"		"unprognostic (2.41e-2)"	"unprognostic (1.59e-2)"	"unprognostic (2.21e-2)"	"unprognostic (4.33e-1)"	"unprognostic (1.21e-2)"	"unprognostic (9.76e-3)"	"unprognostic (1.74e-3)"	"unprognostic (1.03e-1)"	"unprognostic (1.41e-1)"	"unprognostic (8.28e-2)"	"unprognostic (1.98e-2)"	"unprognostic (2.91e-2)"	"unprognostic (1.33e-1)"	"unprognostic (1.81e-3)"	"unprognostic (9.29e-4)"	"unprognostic (3.35e-2)"	"unprognostic (1.13e-2)"	"unprognostic (4.42e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.20e-1)"	"unprognostic (4.15e-2)"	"unprognostic (4.56e-2)"	"unprognostic (2.40e-1)"
ARID3B	"BDP, DRIL2"	ENSG00000179361	"AT-rich interaction domain 3B"	Q8IVW6	15	74541206-74598131	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 24.3"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 42.5;Early spermatids: 44.3;Late spermatids: 62.1;Rod photoreceptor cells: 47.3;Syncytiotrophoblasts: 64.1"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in all"	5	"Testicular Germ Cell Tumor (TCGA): 29.2"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"testis cancer: 87.9"	"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	7	"cerebellum: 41.4"	HPA050320	Enhanced		Supported	Nucleoplasm			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 40: Non-specific - Transcription"	"Cluster 25: Non-specific - Transcription"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 37: Glandular & Luminal cells - Unknown function"	15	Nucleoplasm		"HPA050320: AB_2681085"	"unprognostic (1.87e-1)"	"unprognostic (7.12e-2)"	"unprognostic (5.48e-2)"	"unprognostic (2.69e-1)"	"unprognostic (2.22e-1)"	"unprognostic (3.27e-2)"	"unprognostic (6.24e-2)"		"unprognostic (4.13e-1)"	"unprognostic (1.50e-1)"	"unprognostic (2.85e-2)"	"unprognostic (9.56e-2)"	"unprognostic (1.33e-1)"	"unprognostic (1.62e-2)"	"unprognostic (5.20e-5)"	"unprognostic (1.57e-1)"	"unprognostic (2.31e-1)"	"unprognostic (8.73e-2)"	"unprognostic (9.39e-5)"	"unprognostic (2.57e-2)"	"unprognostic (6.09e-2)"	"unprognostic (8.86e-3)"	"unprognostic (1.02e-1)"	"unprognostic (2.33e-1)"	"unprognostic (2.79e-2)"	"unprognostic (2.25e-2)"	"unprognostic (4.79e-2)"	"unprognostic (5.80e-2)"	"unprognostic (1.19e-2)"	"unprognostic (1.73e-3)"	"unprognostic (1.13e-1)"
ARID3C		ENSG00000205143	"AT-rich interaction domain 3C"	A6NKF2	9	34621049-34629066	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	17	"liver: 10.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Liver Hepatocellular Carcinoma (TCGA): 2.1"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"										NA	NA				"Cluster 83: Liver - Metabolism"	"Cluster 24: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 13: Spermatids - Transcription"	2						"unprognostic (9.89e-2)"											"unprognostic (3.23e-2)"	"unprognostic (1.64e-2)"																
ARID4A	"RBBP1, RBP-1, RBP1"	ENSG00000032219	"AT-rich interaction domain 4A"	P29374	14	58298504-58373887	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA048899, HPA075572"			Supported	"Nucleoplasm,Plasma membrane"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 40: Non-specific - Transcription"	"Cluster 31: Non-specific - Transcription"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 55: Non-specific - Transcription"	32	Nucleoplasm	"Plasma membrane"	"HPA048899: , HPA075572: "	"unprognostic (3.80e-3)"	"unprognostic (3.69e-1)"	"unprognostic (5.49e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.47e-1)"	"unprognostic (8.47e-2)"	"unprognostic (5.28e-2)"	"unprognostic (1.05e-3)"	"unprognostic (1.30e-3)"	"unprognostic (7.79e-3)"	"unprognostic (4.95e-6)"	"unprognostic (7.60e-5)"	"unprognostic (1.03e-1)"	"unprognostic (2.39e-1)"	"unprognostic (2.69e-2)"	"unprognostic (4.74e-2)"	"unprognostic (1.28e-1)"	"unprognostic (8.47e-2)"	"unprognostic (1.91e-1)"	"unprognostic (1.82e-1)"	"unprognostic (6.88e-5)"	"unprognostic (1.03e-1)"	"unprognostic (2.07e-1)"	"unprognostic (4.26e-2)"	"unprognostic (5.02e-2)"	"unprognostic (4.20e-2)"	"unprognostic (1.65e-2)"	"unprognostic (5.59e-1)"	"unprognostic (3.55e-1)"	"unprognostic (1.70e-2)"	"unprognostic (9.11e-2)"
ARID4B	"BCAA, BRCAA1, RBP1L1, SAP180"	ENSG00000054267	"AT-rich interaction domain 4B"	Q4LE39	1	235131634-235328219	"Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 543.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA027205, HPA027333"	Approved		Supported	Nucleoplasm,Mitochondria,Cytosol			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 40: Non-specific - Transcription"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	44	"Mitochondria, Cytosol"	Nucleoplasm	"HPA027205: , HPA027333: AB_1845013"	"unprognostic (5.26e-2)"	"unprognostic (8.06e-3)"	"unprognostic (4.40e-2)"	"unprognostic (7.53e-3)"	"unprognostic (2.96e-1)"	"unprognostic (4.30e-1)"	"unprognostic (4.44e-3)"	"unprognostic (2.95e-2)"	"unprognostic (1.40e-1)"	"unprognostic (3.75e-3)"	"unprognostic (2.39e-4)"	"unprognostic (1.19e-2)"	"unprognostic (1.76e-3)"	"unprognostic (5.96e-2)"	"unprognostic (3.03e-2)"	"unprognostic (9.49e-2)"	"unprognostic (9.63e-3)"	"unprognostic (3.64e-1)"	"unprognostic (1.31e-1)"	"unprognostic (4.38e-1)"	"unprognostic (4.61e-2)"	"unprognostic (2.44e-2)"	"unprognostic (8.92e-2)"	"unprognostic (1.36e-1)"	"unprognostic (3.58e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.39e-1)"	"unprognostic (6.26e-2)"	"unprognostic (3.81e-1)"	"unprognostic (2.45e-2)"	"unprognostic (2.46e-1)"
ARID5A	"MRF-1, RP11-363D14"	ENSG00000196843	"AT-rich interaction domain 5A"	Q03989	2	96536743-96552634	"Predicted intracellular proteins, Transcription factors"	"Immunity, Innate immunity, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"dendritic cells: 133.3;Langerhans cells: 138.7;NK-cells: 145.1"	"Group enriched"	"Detected in many"	6	"central nervous system macrophage: 43.9;endothelial cell: 94.1;leukocyte: 43.1;pericyte: 40.6;vascular associated smooth muscle cell: 93.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"Leukemia: 22.6;lymphoma: 38.9;Myeloma: 47.9"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002860, HPA023879"	Approved		Supported	Nucleoplasm,Nucleoli			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 48: Smooth muscle cells - Signal transduction"	100	Nucleoplasm	Nucleoli	"HPA002860: , HPA023879: AB_1845014"	"unprognostic (2.04e-2)"	"unprognostic (5.90e-4)"	"unprognostic (1.93e-2)"	"unprognostic (5.15e-2)"	"unprognostic (9.43e-2)"	"unprognostic (4.97e-2)"	"unprognostic (1.13e-2)"	"unprognostic (4.09e-1)"	"unprognostic (2.33e-1)"	"unprognostic (1.79e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.93e-2)"	"unprognostic (2.35e-2)"	"unprognostic (2.00e-1)"	"unprognostic (1.38e-1)"	"unprognostic (6.44e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.79e-2)"	"unprognostic (8.14e-2)"	"unprognostic (2.99e-1)"	"unprognostic (9.34e-3)"	"unprognostic (7.73e-3)"	"unprognostic (1.68e-1)"	"unprognostic (4.43e-2)"	"unprognostic (3.82e-2)"	"unprognostic (1.69e-2)"	"unprognostic (1.32e-2)"	"unprognostic (3.15e-2)"	"unprognostic (3.72e-2)"	"unprognostic (1.94e-2)"	"unprognostic (1.27e-2)"
ARID5B	"FLJ21150, MRF2"	ENSG00000150347	"AT-rich interaction domain 5B"	Q14865	10	61901684-62096944	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 84.1"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 648.2;Syncytiotrophoblasts: 934.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Colon - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA015037	Uncertain		Approved	"Nucleoplasm,Endoplasmic reticulum,Plasma membrane,Cytosol"			NA	NA			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"	14	"Endoplasmic reticulum"	"Nucleoplasm, Plasma membrane, Cytosol"	"HPA015037: AB_1845015"	"unprognostic (3.35e-3)"	"unprognostic (1.11e-1)"	"unprognostic (2.77e-2)"	"unprognostic (1.52e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.34e-2)"	"unprognostic (3.72e-1)"	"unprognostic (7.76e-2)"	"unprognostic (1.96e-2)"	"unprognostic (3.59e-1)"	"unprognostic (4.18e-9)"	"unprognostic (7.96e-4)"	"unprognostic (1.02e-1)"	"unprognostic (1.99e-3)"	"unprognostic (2.91e-2)"	"unprognostic (3.74e-2)"	"unprognostic (6.63e-2)"	"unprognostic (3.79e-1)"	"unprognostic (6.65e-2)"	"unprognostic (3.42e-2)"	"unprognostic (8.16e-3)"	"unprognostic (1.79e-1)"	"unprognostic (5.11e-2)"	"unprognostic (2.26e-1)"	"unprognostic (4.33e-2)"	"unprognostic (7.68e-2)"	"unprognostic (9.22e-2)"	"unprognostic (2.15e-1)"	"unprognostic (4.37e-2)"	"unprognostic (1.98e-1)"	"unprognostic (3.96e-2)"
ARNT	"bHLHe2, HIF-1beta"	ENSG00000143437	"Aryl hydrocarbon receptor nuclear translocator"	P27540	1	150809713-150876708	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Fibroblasts, Lung - Fibroblast_1, Spleen - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001759, CAB004318"	Supported		Supported	"Nucleoplasm,Nuclear bodies"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 83: Liver - Metabolism"	"Cluster 6: Non-specific - Immune response"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 53: Fibroblasts - ECM organization"	42	"Nucleoplasm, Nuclear bodies"		"CAB004318: AB_626698, HPA001759: AB_1078213"	"unprognostic (1.26e-2)"	"unprognostic (8.90e-2)"	"unprognostic (1.65e-1)"	"unprognostic (3.34e-2)"	"unprognostic (2.37e-1)"	"unprognostic (1.75e-1)"	"unprognostic (3.43e-1)"	"unprognostic (1.44e-1)"	"unprognostic (1.46e-1)"	"unprognostic (1.36e-2)"	"unprognostic (6.12e-5)"	"unprognostic (1.66e-4)"	"unprognostic (1.24e-1)"	"unprognostic (2.05e-2)"	"unprognostic (2.89e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.35e-1)"	"unprognostic (4.06e-1)"	"unprognostic (2.35e-1)"	"unprognostic (3.22e-3)"	"unprognostic (2.55e-3)"	"unprognostic (1.70e-1)"	"unprognostic (2.79e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.85e-2)"	"unprognostic (2.99e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.56e-1)"	"unprognostic (3.04e-1)"	"unprognostic (2.58e-2)"	"unprognostic (3.32e-1)"
